,Prices,title,location,time_publication,Type,Model,Marque,Kilometrage,Etat,Annee_Modele,Premiere_main,Nombre_de_portes,Origine,Secteur
0,280 000 DH,Range rover evoque,Marrakech,il y a 1 heure,"Voitures d'occasion, à vendre",Range Rover Evoque,Land Rover,65 000 - 69 999,6,2016.0,,5.0,WW au Maroc,Guéliz
1,280 000 DH,Range rover evoque,Marrakech,il y a 1 heure,"Voitures d'occasion, à vendre",Serie 1,BMW,30 000 - 34 999,Très bon,2019.0,,,,Centre ville
2,520 000 DH,Bmw 135 i,Tanger,il y a 1 heure,"Voitures d'occasion, à vendre",205,Peugeot,15 000 - 19 999,Bon,1988.0,,3.0,,
3,26 000 DH,Peugeot,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Accent,Hyundai,95 000 - 99 999,Très bon,2016.0,Non,5.0,WW au Maroc,Toute la ville
4,118 000 DH,Hyundai accent Diesel 2016,Agadir Melloul,il y a 1 heure,"Voitures d'occasion, à vendre",Accent,Hyundai,50 000 - 54 999,Très bon,2021.0,Oui,5.0,WW au Maroc,Anfa
5,167 000 DH,Hyundai accent,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Passat,Volkswagen,200 000 - 249 999,Excellent,2008.0,Non,5.0,Dédouanée,
6,PRIX NON SPÉCIFIÉ,PASSAT,Agadir,il y a 1 heure,"Voitures d'occasion, à vendre",i 10,Hyundai,170 000 - 179 999,Très bon,2017.0,Oui,5.0,Dédouanée,Av Mokawama
7,PRIX NON SPÉCIFIÉ,Hyundai i10 Automatic,Agadir,il y a 1 heure,"Voitures d'occasion, à vendre",Tucson,Hyundai,40 000 - 44 999,6,2021.0,Oui,5.0,WW au Maroc,Californie
8,PRIX NON SPÉCIFIÉ,Hyundai tucson 2021 Diesel,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,75 000 - 79 999,6,2014.0,Oui,5.0,Importée neuve,2 Mars
9,440 000 DH,Range sport autobiographie 80000km certifié,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",CLASSE C COUPE,Mercedes-Benz,80 000 - 84 999,Excellent,2017.0,Non,5.0,Dédouanée,2 Mars
10,405 000 DH,Mercedes classe c coupé 250d 4matic amg line plus,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",CLASSE C COUPE,Mercedes-Benz,130 000 - 139 999,Excellent,2016.0,Non,3.0,Importée neuve,Toute la ville
11,385 000 DH,Mercedes classe c coupe,Sidi Bouzid,il y a 1 heure,"Voitures d'occasion, à vendre",Range Rover Evoque,Land Rover,65 000 - 69 999,6,2019.0,Non,5.0,WW au Maroc,2 Mars
12,415 000 DH,Range rover evoque bb velar full options,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",range_rover_vogue,Land Rover,150 000 - 159 999,6,2015.0,Non,5.0,WW au Maroc,Centre Ville
13,430 000 DH,Range rover vogue neuve,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",F-Type,Jaguar,25 000 - 29 999,6,2017.0,Oui,3.0,WW au Maroc,Centre Ville
14,430 000 DH,Jaguar F-Type supercharged,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Range Rover Sport,Land Rover,100 000 - 109 999,Excellent,2018.0,Non,5.0,WW au Maroc,Californie
15,680 000 DH,Rang Rover sport dynamic plus,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",A4,Audi,170 000 - 179 999,Excellent,2013.0,Oui,5.0,Importée neuve,2 Mars
16,215 000 DH,Audi a4 importé neuve,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Classe C,Mercedes-Benz,170 000 - 179 999,Excellent,2011.0,Non,5.0,Dédouanée,Centre Ville
17,240 000 DH,Mercedes c63 AMG performance carbone édition,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",A4,Audi,160 000 - 169 999,6,2013.0,Non,5.0,Importée neuve,Centre Ville
18,215 000 DH,Audi a4 full rs4 importé neuve fin 2013,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",F-Type,Jaguar,30 000 - 34 999,Excellent,2017.0,Non,5.0,WW au Maroc,2 Mars
19,430 000 DH,Jaguar f-type coupé 30000km,Casablanca,il y a 1 heure,"Voitures d'occasion, à vendre",Clio,Renault,190 000 - 199 999,,2007.0,,5.0,WW au Maroc,
20,45 000 DH,Renault,Berrechid,il y a 1 heure,"Voitures d'occasion, à vendre",Tiguan,Volkswagen,90 000 - 94 999,Excellent,2017.0,Oui,5.0,Dédouanée,
